"city","population"
"Alcinópolis","5343"
"Amambai","39396"
"Bataguassu","23024"
"Batayporã","11329"
"Bela Vista","24629"
"Bonito","21976"
"Brasilândia","11872"
"Campo Grande","895982"
"Chapadão do Sul","25218"
"Corumbá","111435"
"Coxim","33543"
"Dourados","222949"
"Guia Lopes da Laguna","9895"
"Jardim","26097"
"Ladário","23331"
"Miranda","28013"
"Mundo Novo","18366"
"Naviraí","54878"
"Nova Andradina","54374"
"Paraíso das Águas","5555"
"Paranaíba","42148"
"Ponta Porã","92526"
"Ribas do Rio Pardo","24615"
"Rio Verde de Mato Grosso","19746"
"São Gabriel do Oeste","26771"
"Selvíria","6529"
"Sidrolândia","57665"
"Sonora","19274"
"Três Lagoas","121388"
"Vicentina","6102"
"Acorizal","5399"
"Água Boa","25721"
"Alta Floresta","51782"
"Aripuanã","22354"
"Barra do Garças","61012"
"Cáceres","94376"
"Campo Novo do Parecis","35360"
"Canarana","21579"
"Chapada dos Guimarães","19752"
"Confresa","30933"
"Conquista D'Oeste","4038"
"Cotriguaçu","19750"
"Cuiabá","612547"
"Curvelândia","5219"
"Ipiranga do Norte","7667"
"Jaciara","27776"
"Jangada","8409"
"Lambari D'Oeste","6121"
"Lucas do Rio Verde","65534"
"Vila Bela da Santíssima Trindade","16128"
"Mirassol d'Oeste","27739"
"Nova Lacerda","6640"
"Nova Mutum","45378"
"Peixoto de Azevedo","34976"
"Poconé","32843"
"Pontal do Araguaia","6711"
"Ponte Branca","1576"
"Pontes e Lacerda","45436"
"Poxoréu","16219"
"Primavera do Leste","62019"
"Querência","17479"
"São José dos Quatro Marcos","18906"
"Rio Branco","5156"
"São Pedro da Cipa","4727"
"Rondonópolis","232491"
"Rosário Oeste","17151"
"Santo Antônio do Leverger","16628"
"Sinop","142996"
"Sorriso","90313"
"Tangará da Serra","103750"
"Tapurah","13705"
"União do Sul","3525"
"Vale de São Domingos","3127"
"Várzea Grande","284971"
"Nova Monte Verde","9178"
"Águas Lindas de Goiás","212440"
"Alexânia","27653"
"Aloândia","1995"
"Anápolis","386923"
"Anhanguera","1149"
"Aparecida de Goiânia","578179"
"Aragarças","20118"
"Aragoiânia","10308"
"Barro Alto","11167"
"Bela Vista de Goiás","29975"
"Bom Jesus de Goiás","25216"
"Britânia","5779"
"Caldas Novas","91162"
"Campestre de Goiás","3630"
"Campinorte","12626"
"Campo Alegre de Goiás","7589"
"Campos Belos","19887"
"Carmo do Rio Verde","10082"
"Catalão","108823"
"Caturaí","5070"
"Ceres","22191"
"Cidade Ocidental","71376"
"Colinas do Sul","3382"
"Corumbaíba","9723"
"Cristalina","58997"
"Faina","6627"
"Formosa","121617"
"Goiandira","5600"
"Goianésia","70084"
"Goiânia","1516113"
"Goianira","44289"
"Goiatuba","34095"
"Guapó","14209"
"Inhumas","52866"
"Ipameri","26985"
"Iporá","31531"
"Itaguaru","5237"
"Itumbiara","104742"
"Jaraguá","50511"
"Jataí","100882"
"Jesúpolis","2490"
"Luziânia","208299"
"Mara Rosa","9503"
"Minaçu","29070"
"Mineiros","66801"
"Montividiu","13396"
"Morrinhos","46136"
"Nerópolis","29850"
"Niquelândia","46388"
"Nova Glória","8164"
"Nova Veneza","9853"
"Novo Gama","115711"
"Padre Bernardo","33835"
"Palmeiras de Goiás","28858"
"Palminópolis","3585"
"Paranaiguara","10057"
"Paraúna","10988"
"Piracanjuba","24524"
"Pires do Rio","31458"
"Planaltina","89918"
"Porangatu","45394"
"Professor Jamil","3223"
"Rialma","10918"
"Rio Verde","235647"
"Santa Fé de Goiás","5459"
"Santo Antônio de Goiás","6283"
"Santo Antônio do Descoberto","74744"
"São Luís de Montes Belos","33817"
"Senador Canedo","115371"
"Trindade","127599"
"Uruaçu","40532"
"Valparaíso de Goiás","168468"
"Vianópolis","13863"
"Brasília","3015268"
"Açailândia","112445"
"Água Doce do Maranhão","12571"
"Alcântara","22097"
"Aldeias Altas","26532"
"Altamira do Maranhão","8128"
"Alto Alegre do Maranhão","27053"
"Alto Alegre do Pindaré","31919"
"Amapá do Maranhão","6962"
"Amarante do Maranhão","41435"
"Anajatuba","26803"
"Anapurus","15732"
"Apicum-Açu","17239"
"Araguanã","15426"
"Araioses","46440"
"Arame","32701"
"Arari","29848"
"Axixá","12130"
"Bacabal","104949"
"Bacabeira","17055"
"Balsas","94887"
"Barão de Grajaú","18820"
"Barra do Corda","88212"
"Barreirinhas","62528"
"Belágua","7469"
"Bela Vista do Maranhão","11209"
"Bequimão","21280"
"Boa Vista do Gurupi","9287"
"Bom Jardim","41630"
"Bom Jesus das Selvas","34028"
"Bom Lugar","16294"
"Brejo","36397"
"Buriti","28678"
"Buriti Bravo","23884"
"Buriticupu","72358"
"Buritirana","15430"
"Cachoeira Grande","9431"
"Cajapió","11177"
"Cajari","19379"
"Cândido Mendes","20178"
"Cantanhede","21995"
"Capinzal do Norte","10934"
"Carutapera","23807"
"Caxias","164880"
"Cedral","10675"
"Centro do Guilherme","13458"
"Centro Novo do Maranhão","21622"
"Chapadinha","79675"
"Cidelândia","14697"
"Codó","122859"
"Coelho Neto","49435"
"Colinas","41178"
"Conceição do Lago-Açu","16237"
"Coroatá","65296"
"Cururupu","32695"
"Davinópolis","12908"
"Dom Pedro","23350"
"Duque Bacelar","11349"
"Esperantinópolis","17241"
"Estreito","41946"
"Fernando Falcão","10360"
"Fortaleza dos Nogueiras","12631"
